v2	v1	decl	premise	v1_succ	v1_fail	v2_succ	v2_fail	category	note
176	167	relation InitiateValidatorExit	-- if (vid < |state.VALIDATORS|)	374	0	374	0	unfalsifiable-tautology	
178	169	relation InitiateValidatorExit	-- if (validator.EXIT_EPOCH = $FAR_FUTURE_EPOCH)	374	0	374	0	unfalsifiable-closing	
186	177	relation InitiateValidatorExit	-- if (epoch_exit_queue <= ($UINT64_MAX - $MIN_VALIDATOR_WITHDRAWABILITY_DELAY))	374	0	374	0	target-limitation	prov-precision addresses; limitation-provenance: iterated field aggregate (max over exit epochs) untracked by extractor
188	179	relation SlashValidator	-- if validatorIndex?{validatorIndex <- validatorIndex?} matches ()	210	0	210	0	unfalsifiable-tautology	out-of-scope, paper-folded
189	180	relation SlashValidator	-- if (vid_slashed < |state.VALIDATORS|)	210	0	210	0	unfalsifiable-tautology	
195		relation SlashValidator	-- if (state_1.SLASHINGS[(epoch \ $EPOCHS_PER_SLASHINGS_VECTOR)] <= ($UINT64_MAX - validator.EFFECTIVE_BALANCE))			210	0	target-limitation	new-in-v2; F2; limitation-provenance: epoch-dependent vector index; mutations hit SLASHINGS[0]
206	196	relation SlashValidator	-- if validatorIndex?{validatorIndex <- validatorIndex?} matches (_)	0	0	0	0	unfalsifiable-tautology	whistleblower clause, callers pass none; out-of-scope, paper-folded
208	198	relation SlashValidator	-- if (vid_slashed < |state.VALIDATORS|)	0	0	0	0	unfalsifiable-tautology	whistleblower clause, callers pass none; out-of-scope, paper-folded
214		relation SlashValidator	-- if (state_1.SLASHINGS[(epoch \ $EPOCHS_PER_SLASHINGS_VECTOR)] <= ($UINT64_MAX - validator.EFFECTIVE_BALANCE))			0	0	unfalsifiable-tautology	new-in-v2; F2; whistleblower rule, callers pass none; whistleblower clause, callers pass none; out-of-scope, paper-folded
227	216	relation ApplyDeposit	-- if ~blsPubkey <- blsPubkey_existing*{blsPubkey_existing <- blsPubkey_existing*}	212	3	212	3	falsifiable-covered	
230	219	relation ApplyDeposit	-- if $bls_verify(blsPubkey, $compute_signing_root_depositMessage(depositMessage, domain), blsSignature)	212	0	212	0	target-limitation	limitation-coordinated: needs merkle-consistent deposit: another seed (official invalid-sig deposit vectors) or hash-recomputing coordinated mutation
234	223	relation ApplyDeposit	-- if ~blsPubkey <- blsPubkey_existing*{blsPubkey_existing <- blsPubkey_existing*}	0	3	0	3	falsifiable-covered	markdown: redundant (deferred)
237	226	relation ApplyDeposit	-- if ~$bls_verify(blsPubkey, $compute_signing_root_depositMessage(depositMessage, domain), blsSignature)	0	0	0	0	unfalsifiable-closing	valid-sig arm reachable only via new_pubkey abort
240	229	relation ApplyDeposit	-- if blsPubkey <- blsPubkey_existing*{blsPubkey_existing <- blsPubkey_existing*}	3	0	3	0	unfalsifiable-closing	
251	240	def $bit_is_one_at_index	-- if (i < |bit*{bit <- bit*}|)	14869	0	14869	0	unfalsifiable-tautology	
256	245	def $is_valid_indexed_attestation	-- if (|indexedAttestation.ATTESTING_INDICES| = 0)	0	1483	0	1483	falsifiable-covered	
257	246	def $is_valid_indexed_attestation	-- if ($sort_<validatorIndex>($to_set_<validatorIndex>(indexedAttestation.ATTESTING_INDICES)) =/= indexedAttestation.ATTESTING_INDICES)	0	1483	0	1483	falsifiable-covered	
259	248	def $is_valid_indexed_attestation	-- if (|indexedAttestation.ATTESTING_INDICES| > 0)	1483	0	1483	0	unfalsifiable-closing	
260	249	def $is_valid_indexed_attestation	-- if ($sort_<validatorIndex>($to_set_<validatorIndex>(indexedAttestation.ATTESTING_INDICES)) = indexedAttestation.ATTESTING_INDICES)	1483	0	1483	0	unfalsifiable-closing	
261		def $is_valid_indexed_attestation	-- (if (vid < |state.VALIDATORS|))*{vid <- vid*}			1483	0	target-limitation	new-in-v2; F23; block-side index edit; iterated-uninstrumented; limitation-coordinated: measured 157332/0 in fixed combined; zero mutations pre-instrumentation-fix; 2nd testgen iteration would attempt
265	253	relation SlashIfEligible	-- if (vid < |state.VALIDATORS|)	81	0	81	0	unfalsifiable-tautology	
266	254	relation SlashIfEligible	-- if $is_slashable_validator(state.VALIDATORS[vid], $get_current_epoch(state))	71	10	71	10	falsifiable-covered	
268	256	relation SlashIfEligible	-- if (vid < |state.VALIDATORS|)	10	0	10	0	unfalsifiable-tautology	
269	257	relation SlashIfEligible	-- if ~$is_slashable_validator(state.VALIDATORS[vid], $get_current_epoch(state))	10	0	10	0	unfalsifiable-closing	
270	258	relation SlashIfEligible_over_validators	-- if validatorIndex*{validatorIndex <- validatorIndex*} matches []	24	81	24	81	falsifiable-covered	
271	259	relation SlashIfEligible_over_validators	-- if validatorIndex*{validatorIndex <- validatorIndex*} matches _ :: _	81	0	81	0	unfalsifiable-closing	
275	263	def $source_flag_list	-- if (uint64_inclusion_delay <= $integer_square_root($SLOTS_PER_EPOCH))	307	570	307	570	falsifiable-covered	
277	265	def $target_flag_list	-- if (uint64_inclusion_delay <= $SLOTS_PER_EPOCH)	877	0	877	0	unfalsifiable-tautology	
279	267	def $head_flag_list	-- if (uint64_inclusion_delay = $MIN_ATTESTATION_INCLUSION_DELAY)	257	620	257	620	falsifiable-covered	
281	269	def $get_attestation_participation_flag_indices	-- if (attestationData.TARGET.EPOCH = $get_current_epoch(state))	524	909	524	909	falsifiable-covered	
283	271	def $get_attestation_participation_flag_indices	-- if (attestationData.SOURCE.EPOCH = checkpoint_justified.EPOCH)	524	0	524	0	falsifiable-covered	covered by generated tests (combined fail=94)
284	272	def $get_attestation_participation_flag_indices	-- if (attestationData.SOURCE.ROOT = checkpoint_justified.ROOT)	524	0	524	0	falsifiable-covered	covered by generated tests (combined fail=28)
293	281	def $get_attestation_participation_flag_indices	-- if (attestationData.TARGET.EPOCH =/= $get_current_epoch(state))	909	0	909	0	redundant	
295	283	def $get_attestation_participation_flag_indices	-- if (attestationData.SOURCE.EPOCH = checkpoint_justified.EPOCH)	909	0	909	0	falsifiable-covered	covered by generated tests (combined fail=205)
296	284	def $get_attestation_participation_flag_indices	-- if (attestationData.SOURCE.ROOT = checkpoint_justified.ROOT)	909	0	909	0	falsifiable-covered	covered by generated tests (combined fail=66)
305	293	def $next_sync_committee_indices_loop	-- if (|vid_sync_committee*{vid_sync_committee <- vid_sync_committee*}| >= $SYNC_COMMITTEE_SIZE)	1	512	1	512	falsifiable-covered	
306	294	def $next_sync_committee_indices_loop	-- if (|vid_sync_committee*{vid_sync_committee <- vid_sync_committee*}| < $SYNC_COMMITTEE_SIZE)	512	0	512	0	unfalsifiable-closing	
311	299	def $next_sync_committee_indices_loop	-- if (balance_effective <= ($UINT64_MAX / $MAX_RANDOM_BYTE))	512	0	512	0	unfalsifiable-tautology	
312	300	def $next_sync_committee_indices_loop	-- if ((balance_effective * $MAX_RANDOM_BYTE) >= ($MAX_EFFECTIVE_BALANCE * uint64_random_byte))	512	0	512	0	falsifiable-covered	overflow check; covered by generated tests (combined fail=8)
313	301	def $next_sync_committee_indices_loop	-- if (|vid_sync_committee*{vid_sync_committee <- vid_sync_committee*}| < $SYNC_COMMITTEE_SIZE)	0	0	0	0	target-limitation	limitation-coordinated: no baseline attempts pre-fix; another seed or 2nd testgen iteration reaches it
318	306	def $next_sync_committee_indices_loop	-- if (balance_effective <= ($UINT64_MAX / $MAX_RANDOM_BYTE))	0	0	0	0	target-limitation	limitation-coordinated: no baseline attempts pre-fix; another seed or 2nd testgen iteration reaches it
319	307	def $next_sync_committee_indices_loop	-- if ((balance_effective * $MAX_RANDOM_BYTE) < ($MAX_EFFECTIVE_BALANCE * uint64_random_byte))	0	0	0	0	target-limitation	limitation-coordinated: no baseline attempts pre-fix; another seed or 2nd testgen iteration reaches it
323		def $get_next_sync_committee_indices	-- if (count_active > 0)			1	0	falsifiable-covered	new-in-v2; F6; needs empty registry at sync boundary; covered by generated tests (combined fail=1)
332		def $get_total_balance	-- if (gwei_sum <= $UINT64_MAX)			1539	0	falsifiable-covered	new-in-v2; F3; covered by generated tests (combined fail=695)
337	322	def $get_base_reward	-- if (vid < |state.VALIDATORS|)	15745	0	15745	0	unfalsifiable-tautology	
343	328	relation ApplyEffectiveBalance	-- if (balance <= ($UINT64_MAX - uint64_down_th))	11616	0	11616	0	falsifiable-covered	overflow check; covered by generated tests (combined fail=365)
344	330	relation ApplyEffectiveBalance	-- if (((balance + uint64_down_th) < validator.EFFECTIVE_BALANCE) \/ ((validator.EFFECTIVE_BALANCE <= ($UINT64_MAX - uint64_up_th)) /\ ((validator.EFFECTIVE_BALANCE + uint64_up_th) < balance)))	2241	9375	2241	9375	falsifiable-covered	
348		relation ApplyEffectiveBalance	-- if (balance <= ($UINT64_MAX - uint64_down_th))			9375	0	falsifiable-covered	new-in-v2; F13; copy of 343; covered by generated tests (combined fail=365)
349		relation ApplyEffectiveBalance	-- if ((balance + uint64_down_th) >= validator.EFFECTIVE_BALANCE)			9375	0	unfalsifiable-closing	new-in-v2; F13; complement via 344
350	329	relation ApplyEffectiveBalance	-- if (validator.EFFECTIVE_BALANCE <= ($UINT64_MAX - uint64_up_th))	11616	0	9375	0	target-limitation	overflow check; limitation-coordinated: needs coordinated eff-balance+exit-epoch edit (inactive validator avoids total-balance guards)
351		relation ApplyEffectiveBalance	-- if ((validator.EFFECTIVE_BALANCE + uint64_up_th) >= balance)			9375	0	unfalsifiable-closing	new-in-v2; F13; complement via 344
352	332	def $inact_penalty_one	-- if vid <- vid_eligible*{vid_eligible <- vid_eligible*}	9180	900	9180	900	falsifiable-covered	
353	333	def $inact_penalty_one	-- if ~vid <- vid_matching*{vid_matching <- vid_matching*}	4532	4648	4532	4648	falsifiable-covered	
354	334	def $inact_penalty_one	-- if (vid < |state.VALIDATORS|)	4532	0	4532	0	unfalsifiable-tautology	
356	336	def $inact_penalty_one	-- if (vid < |state.INACTIVITY_SCORES|)	4532	0	4532	0	unfalsifiable-tautology	
359	339	def $inact_penalty_one	-- if (penalty_numerator <= $UINT64_MAX)	4532	0	4532	0	falsifiable-covered	overflow check; covered by generated tests (combined fail=409)
362		def $inact_penalty_one	-- if (~vid <- vid_eligible*{vid_eligible <- vid_eligible*} \/ vid <- vid_matching*{vid_matching <- vid_matching*})			5548	0	redundant	new-in-v2; F10 complement; spillover of 354/356/359; included to verify; spillover of 359 (penalty_numerator overflow abort in clause 0); 16-shard fail distributions identical (409=409)
369	349	def $flag_reward_one_eligible	-- if vid <- vid_eligible*{vid_eligible <- vid_eligible*}	20465	2287	20465	2287	falsifiable-covered	
370	350	def $flag_reward_one_eligible	-- if vid <- vid_unslashed*{vid_unslashed <- vid_unslashed*}	8895	11570	8895	11570	falsifiable-covered	
371	351	def $flag_reward_one_eligible	-- if ~$is_in_inactivity_leak(state)	8289	606	8289	606	falsifiable-covered	
374		def $flag_reward_one_eligible	-- if (reward_numerator <= $UINT64_MAX)			8289	0	falsifiable-covered	new-in-v2; F9; needs source-only whale; covered by generated tests (combined fail=24)
376		def $flag_reward_one_eligible	-- if (~vid <- vid_eligible*{vid_eligible <- vid_eligible*} \/ ~vid <- vid_unslashed*{vid_unslashed <- vid_unslashed*})			13857	606	falsifiable-covered	new-in-v2; v2-falsified; spillover of 371 (leak fallthrough)
377		def $flag_reward_one_eligible	-- if $is_in_inactivity_leak(state)			606	0	redundant	new-in-v2; leak clause; spillover of 374; included to verify; spillover of 374 (reward overflow abort in clause 1); 16-shard fail distributions identical (24=24)
378	356	def $flag_penalty_one_eligible	-- if vid <- vid_eligible*{vid_eligible <- vid_eligible*}	27540	2700	27540	2700	falsifiable-covered	
379	357	def $flag_penalty_one_eligible	-- if ~vid <- vid_unslashed*{vid_unslashed <- vid_unslashed*}	17117	10423	17117	10423	falsifiable-covered	
380	358	def $flag_penalty_one_eligible	-- if (flag_index =/= $TIMELY_HEAD_FLAG_INDEX)	10677	6440	10677	6440	falsifiable-covered	
383		def $flag_penalty_one_eligible	-- if ((~vid <- vid_eligible*{vid_eligible <- vid_eligible*} \/ vid <- vid_unslashed*{vid_unslashed <- vid_unslashed*}) \/ (flag_index = $TIMELY_HEAD_FLAG_INDEX))			19563	0	unfalsifiable-closing	new-in-v2; F12 complement; spillover-only; included to verify; uncovered spillover-only (F12/leak family); migrates to redundant if source fires
396	374	relation ApplyRewardsAndPenalties	-- if validatorIndex*{validatorIndex <- validatorIndex*} matches []	82	36671	82	36671	falsifiable-covered	
397	375	relation ApplyRewardsAndPenalties	-- if gwei*{gwei <- gwei*} matches []	82	0	82	0	unfalsifiable-tautology	
398	376	relation ApplyRewardsAndPenalties	-- if gwei'*{gwei' <- gwei'*} matches []	82	0	82	0	unfalsifiable-tautology	
399	377	relation ApplyRewardsAndPenalties	-- if validatorIndex*{validatorIndex <- validatorIndex*} matches _ :: _	36671	0	36671	0	unfalsifiable-closing	
401	379	relation ApplyRewardsAndPenalties	-- if gwei*{gwei <- gwei*} matches _ :: _	36671	0	36671	0	unfalsifiable-tautology	
403	381	relation ApplyRewardsAndPenalties	-- if gwei'*{gwei' <- gwei'*} matches _ :: _	36671	0	36671	0	unfalsifiable-tautology	
407	385	relation ApplyRewardsAndPenalties_over_deltas	-- if gwei*{gwei <- gwei*}*{gwei* <- gwei**} matches []	30	120	30	120	falsifiable-covered	
408	386	relation ApplyRewardsAndPenalties_over_deltas	-- if gwei'*{gwei' <- gwei'*}*{gwei'* <- gwei'**} matches []	30	0	30	0	unfalsifiable-tautology	
409	387	relation ApplyRewardsAndPenalties_over_deltas	-- if gwei*{gwei <- gwei*}*{gwei* <- gwei**} matches _ :: _	120	0	120	0	unfalsifiable-closing	
411	389	relation ApplyRewardsAndPenalties_over_deltas	-- if gwei'*{gwei' <- gwei'*}*{gwei'* <- gwei'**} matches _ :: _	120	0	120	0	unfalsifiable-tautology	
415	393	relation ApplyInactivity	-- if vid <- $get_unslashed_participating_indices(state, $TIMELY_TARGET_FLAG_INDEX, $get_previous_epoch(state))	4648	4532	4648	4532	falsifiable-covered	
416	394	relation ApplyInactivity	-- if ~$is_in_inactivity_leak(state)	4298	350	4298	350	falsifiable-covered	
417	395	relation ApplyInactivity	-- if (vid < |state.INACTIVITY_SCORES|)	4298	0	4298	0	unfalsifiable-tautology	
418	396	relation ApplyInactivity	-- if vid <- $get_unslashed_participating_indices(state, $TIMELY_TARGET_FLAG_INDEX, $get_previous_epoch(state))	350	4532	350	4532	falsifiable-covered	markdown: redundant (deferred)
419	397	relation ApplyInactivity	-- if $is_in_inactivity_leak(state)	350	0	350	0	unfalsifiable-closing	
420	398	relation ApplyInactivity	-- if (vid < |state.INACTIVITY_SCORES|)	350	0	350	0	unfalsifiable-tautology	
421	399	relation ApplyInactivity	-- if ~vid <- $get_unslashed_participating_indices(state, $TIMELY_TARGET_FLAG_INDEX, $get_previous_epoch(state))	4532	0	4532	0	unfalsifiable-closing	
422	400	relation ApplyInactivity	-- if ~$is_in_inactivity_leak(state)	1903	2629	1903	2629	falsifiable-covered	
424	402	relation ApplyInactivity	-- if (vid < |state.INACTIVITY_SCORES|)	1903	0	1903	0	unfalsifiable-tautology	
425		relation ApplyInactivity	-- if (state.INACTIVITY_SCORES[vid] <= ($UINT64_MAX - $INACTIVITY_SCORE_BIAS))			1903	0	falsifiable-covered	new-in-v2; F7; covered by generated tests (combined fail=68)
426	403	relation ApplyInactivity	-- if ~vid <- $get_unslashed_participating_indices(state, $TIMELY_TARGET_FLAG_INDEX, $get_previous_epoch(state))	2629	0	2629	0	unfalsifiable-closing	
427	404	relation ApplyInactivity	-- if $is_in_inactivity_leak(state)	2629	0	2629	0	redundant	was unfalsifiable-closing; spillover of 425 (inactivity-score overflow abort in inactive_no_leak); 16-shard fail distributions identical (68=68) (combined fail=68)
428	405	relation ApplyInactivity	-- if (vid < |state.INACTIVITY_SCORES|)	2629	0	2629	0	unfalsifiable-tautology	
429		relation ApplyInactivity	-- if (state.INACTIVITY_SCORES[vid] <= ($UINT64_MAX - $INACTIVITY_SCORE_BIAS))			2629	0	falsifiable-covered	new-in-v2; F7; covered by generated tests (combined fail=76)
